"ad_date","source","campaign_name","adset_name","utm_campaign","total_spend","total_clicks","total_impressions","total_reach","total_leads","total_value"
2020-11-11,Facebook,Discounts,True power,discounts,189,45,1800,1690,0,238
2020-11-12,Facebook,Discounts,Upgrades,discounts,34,2,209,52,0,34
2020-11-12,Facebook,Discounts,True power,discounts,2266,395,10264,11558,7,2079
2020-11-12,Google,Discounts,Upgrades,discounts,66,7,180,129,0,76
2020-11-12,Google,Discounts,True power,discounts,332,252,9124,2900,6,440
2020-11-13,Facebook,Discounts,Upgrades,discounts,14,0,66,52,0,17
2020-11-13,Facebook,Discounts,True power,discounts,622,451,11603,2855,7,960
2020-11-13,Google,Discounts,True power,discounts,1054,108,6449,4682,9,1357
2020-11-14,Facebook,Discounts,True power,discounts,727,392,5005,2375,4,1267
2020-11-14,Google,Discounts,Upgrades,discounts,1,0,7,6,0,1
2020-11-15,Facebook,Discounts,True power,discounts,698,657,12465,8396,4,1096
2020-11-15,Google,Discounts,True power,discounts,682,130,5210,1882,2,1000
2020-11-16,Facebook,Discounts,True power,discounts,4167,768,13113,16542,9,3291
2020-11-16,Google,Discounts,True power,discounts,2760,597,17001,8890,12,3555
2020-11-17,Facebook,Discounts,True power,discounts,1261,270,17686,3791,5,1195
2020-11-18,Facebook,Discounts,True power,discounts,3330,177,4881,14615,5,3539
2020-11-18,Google,Discounts,True power,discounts,372,105,15958,12117,2,407
2020-11-19,Facebook,Discounts,True power,discounts,1083,330,12938,3255,8,1765
2020-11-20,Facebook,Discounts,True power,discounts,1684,344,18425,7947,1,1681
2020-11-20,Google,Discounts,True power,discounts,2433,235,1781,10475,6,2602
2020-11-21,Facebook,Discounts,True power,discounts,1819,631,10351,19369,8,1716
2020-11-21,Google,Discounts,True power,discounts,2137,447,5352,4128,6,3513
2020-11-22,Facebook,Discounts,True power,discounts,3646,263,9922,10012,9,4865
2020-11-23,Facebook,Discounts,True power,discounts,1456,116,14090,11138,3,2021
2020-11-23,Google,Discounts,True power,discounts,2762,47,4664,10765,7,4419
2020-11-24,Facebook,Discounts,True power,discounts,3700,268,5152,8025,5,4029
2020-11-24,Google,Discounts,True power,discounts,2402,155,3471,4087,0,2432
2020-11-25,Facebook,Discounts,True power,discounts,3995,212,2625,8001,3,3586
2020-11-25,Google,Discounts,True power,discounts,398,316,4676,8490,3,271
2020-11-26,Facebook,Discounts,True power,discounts,1423,185,8790,4867,7,1711
2020-11-27,Facebook,Discounts,True power,discounts,771,128,9211,2671,3,1055
2020-11-27,Google,Discounts,True power,discounts,1827,208,9779,3874,6,2800
2020-11-28,Facebook,Discounts,True power,discounts,854,155,3481,1045,2,1141
2020-11-28,Google,Discounts,True power,discounts,422,129,3829,1779,0,523
2020-11-29,Facebook,Discounts,True power,discounts,1366,184,5570,16550,8,1762
2020-11-29,Google,Discounts,True power,discounts,618,241,2784,6078,5,557
2020-11-30,Facebook,Discounts,True power,discounts,3984,320,17746,3856,7,6794
2020-12-01,Facebook,Discounts,True power,discounts,879,463,17468,7304,7,1354
2020-12-02,Facebook,Discounts,True power,discounts,2227,386,8252,9634,1,3027
2020-12-03,Facebook,Discounts,True power,discounts,4056,410,2575,10910,2,3266
2020-12-03,Google,Discounts,True power,discounts,3214,328,4307,4263,1,2318
2020-12-04,Facebook,Discounts,True power,discounts,2730,250,3037,3148,2,2307
2020-12-04,Google,Discounts,True power,discounts,616,97,4891,13212,5,691
2020-12-05,Facebook,Discounts,True power,discounts,2812,104,2351,8088,5,4528
2020-12-05,Google,Discounts,True power,discounts,1622,250,2218,8158,5,2501
2020-12-06,Facebook,Discounts,True power,discounts,4271,220,18728,7243,8,7228
